r,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,8.411749108846127E-13
14,2.803916369615376E-13
15,9.434010285268401E-12
16,3.728332547722945E-12
17,0.013231735010039731
18,0.020301916390154627
19,0.03797449250745194
20,0.045217747098573076
21,0.057562640609184194
22,0.06012241585207049
23,0.06489798107648151
24,0.06282917870394139
25,0.061946209511135275
26,0.14045017290106673
27,0.0671002457430406
28,0.060162760047221174
29,0.04681734252980591
30,0.040123680304308615
31,0.03363739172028958
32,0.02862701547197486
33,0.024308780425472912
34,0.02055541915236664
35,0.017377783289669758
36,0.01459309997204612
37,0.012260982909735848
38,0.010248079523390467
39,0.00857801751307349
40,0.0071602482232982784
41,0.005992973050538851
42,0.004999120956171202
43,0.00429999459627248
44,0.003671135448122478
45,0.0032646561023952645
46,0.002851150457451347
47,0.0025702855658367727
48,0.0022591000125509325
49,0.002025847420738458
50,0.00177050296268992
51,0.0015655629018533803
52,0.001353455287548411
53,0.0011776729198498927
54,0.0010059225672922245
55,8.620802206401734E-4
56,7.280011604053681E-4
57,6.156837373505861E-4
58,5.14704095688E-4
59,4.3045841813169864E-4
60,3.567570561568067E-4
61,2.9561002901159843E-4
62,2.4321268514006778E-4
63,1.999910261932274E-4
64,1.6353666010206577E-4
65,1.3362953410199968E-4
66,1.0871265821557506E-4
67,8.837121057608393E-5
68,7.158578844174195E-5
69,5.794196488275762E-5
70,4.676834998814403E-5
71,3.7720248271202314E-5
72,3.035494078135864E-5
73,2.4410124683191138E-5
74,1.9594373983733307E-5
75,1.5718278761188047E-5
76,1.2590650240289042E-5
77,1.0079325939854894E-5
78,8.059396459681848E-6
79,6.440824135681439E-6
80,5.1423582533089775E-6
81,4.1037186386586006E-6
82,3.2722795707362895E-6
83,2.6082079229161682E-6
84,2.0775550145560414E-6
85,1.65426218968904E-6
86,1.3165095237861647E-6
87,1.0473828244140812E-6
88,8.329038272513273E-7
89,6.621618667738422E-7
90,5.262282904179238E-7
91,4.1809999908569725E-7
92,3.320883906717096E-7
93,2.6371649640729826E-7
94,2.0936810375727604E-7
95,1.661904994592955E-7
96,1.3188933749060622E-7
97,1.0465173287949505E-7
98,8.302445623465871E-8
99,6.585796088727274E-8
100,8.272723536870752E-8
101,3.5211372839383826E-8
102,2.7925761564291958E-8
103,2.2145140809578393E-8
104,1.7558978368548533E-8
105,1.3921255423247783E-8
106,1.1036041190862948E-8
107,8.74807728188106E-9
108,6.933853491273099E-9
109,5.495488138421443E-9
110,4.355183913816612E-9
111,3.4512842414654633E-9
112,2.7348183240526976E-9
113,2.166975711048065E-9
114,1.7169484455395972E-9
115,1.360321410837985E-9
116,1.0777224515653783E-9
117,8.538000602320125E-10
118,6.763779945113802E-10
119,5.358077541280574E-10
120,4.244387408709822E-10
121,3.3620898184687146E-10
122,2.663128849703197E-10
123,2.109429693810973E-10
124,1.6708145818636688E-10
